Text,Category
"In 2018, D'Ernest Johnson wasn't signed by any NFL team after failing to be drafted.
So, he took up a job on a fishing boat in Key West, Florida, reeling in mahi mahi to make ends meet.
Now, three years later and having put in the work, Johnson is a match-winning NFL running back.
With the Cleveland Browns missing their two starting running backs in Nick Chubb and Kareem Hunt, 
Johnson took advantage, rushing for a career-high 146 yards and a touchdown in the Browns' 17-14 victory 
over the Denver Broncos on Thursday night.
In his first career start, Johnson looked composed and explosive as he helped a 
depleted Browns team -- also missing starting quarterback Baker Mayfield -- to a victory which halted a 
two-game losing streak.
His performance on Thursday earned praise from one of the Browns' most famous fans, 
NBA superstar LeBron James, as the 36-year-old tweeted: ""D' Ernest Johnson on 1 tonight!! Love to see it!""
And when Johnson was told about the tweet, he looked stunned, 
saying: ""LeBron? Man, that's my favorite basketball player; I'm not going to lie to you ... That's 
amazing! LeBron James, appreciate it man. That means a lot. Wow!""
It is the culmination of a long journey for the running back, who also worked as a personal trainer 
before signing for the Alliance of American Football league, where he finished second in the league 
in rushing and scrimmage yards while with the Orlando Apollo in 2019.
Although he was initially signed by the Browns as an undrafted free agent in 2019, he had predominately 
featured as a kick returner on special teams.
He appeared in all 16 games in 2020, whilst also filling in where needed as a running back, posting 
career highs in carries (33) and rushing yards (166).
But it is in week seven this season where Johnson really exploded onto the scene with the Browns 
needing a big performance with their stars on the sideline.
Johnson became the third Browns running back to have 100 or more scrimmage yards in a game this season, 
joining Chubb and Hunt. To put that in context, five NFL teams have yet to have one running back do so 
in a game this season.
""It's unexplainable. I wanted to celebrate but I didn't know what to do. It's been a long journey,"" said 
Johnson as he reflected on how his fortunes have changed since 2018.
The victory means the Browns remained alive in the AFC playoff picture, while it is the Broncos' fourth 
straight defeat.
For Broncos linebacker Von Miller, it was perhaps an even more painful defeat given the talking he 
did beforehand.
In the lead up to Thursday's game, Miller said: ""I'm going to have a great game. I'm going to go out 
there, and going to have to play well and get a couple sacks.
""And if I do that then we will win ... If I can play well and I can get sacks and I can find a way to 
disrupt the game, we'll win. The pressure is on me to play well.
""I don't know who the tackle is that I'm going against, but I'm going to kill him. I'm going to kill 
him. And the other guy too, on the other side. I'm going to play extremely well and make plays for my 
team. I'm going to set us up and win this game for sure.""
Visit CNN.com/sport for more news, features, and videos
However in the disappointing performance, Miller was forced to leave after injuring his ankle.
And the Super Bowl 50 MVP said his ""pride is hurt more than anything.""
""I talked a lot of s**t before this game and I wanted to make it personal. I wanted the animosity. 
I wanted this to be that game, and I wanted to win it,"" Miller said.
""We did some good things in the half and I felt like I was gonna do some great stuff in the second 
half -- but I got hurt.""",Sports
"Tom Brady congratulated Aaron Rodgers for becoming a ""shareholder of the Bears"" after the Green Bay 
Packers quarterback's celebration in which he could be heard saying he ""owned"" the Chicago team.
After scoring a six-yard rushing touchdown in the Packers 24-14 win over their division rivals, 
microphones close to Rodgers heard him goading fans in Soldier Field in Chicago.
""I've owned you all my f**king life!"" Rodgers shouted. ""I own you. I still own you.""
And Tampa Bay Buccaneers quarterback Brady humorously congratulated Rodgers on his new ownership 
role, after he improved his all-time record against the Bears to 22-5.
""I wanted to say congrats to Aaron Rodgers,"" Brady said on his weekly SiriusXM NFL Radio show on 
Wednesday as he prepares to face the Bears this Sunday. ""Obviously, I know he's a great 
quarterback, but I guess he's now a shareholder of the Bears. ""I saw a clip of him really 
enthusiastically telling the crowd how happy he is to own Soldier Field. And that's really great 
stuff. He owns the (Milwaukee Bucks) now. Part owner of Soldier Field. So he's got a great career 
beyond football.""
When asked about the celebration in the press conference after the win, Rodgers said it was not unprovoked.
""Sometimes, you black out on the field, in a good way,"" Rodgers said. ""But I looked up in the stands, 
and in the front row, all I saw was a woman giving me the double bird. So I'm not sure exactly what 
came out of my mouth next.""
And having had some time to consider the celebration, Rodgers said it was definitely a ""spur of the 
moment"" action.
""When I got down to my knee and looked up, all I could see and hear was obscenities,"" Rodgers said on 
the Pat McAfee Show on Tuesday. ""I didn't plan on telling the crowd that I own them. I think based on 
the statistical reference of my career, win percentage down there against them, definitely our teams 
have done some good things.
""I know I used 'I' a few times, but I do feel like it's a 'we' thing. Really since (Brett) Favre took 
over, we've flipped that entire series on its head. When Favre-y took over, we were double-digits in the 
hole in the all-time series.
""This series has been going on for 100 years plus, and now we're seven up, so it feels good to be on 
this side of it. That was a special moment looking back. I didn't realize how crazy it would go ... I 
love the response of my teammates backing me up.""",Sports
"Leading Formula One drivers defended the popular Netflix ""Drive to Survive"" fly-on-the-wall series on 
Thursday after Red Bull's championship leader Max Verstappen said he was snubbing it because he felt 
some of the rivalries were ""faked.""
The docu-series, now filming its fourth season, has been credited as a big factor in fueling the sport's 
growth in the United States.
Dutch 24-year-old Verstappen earlier told the Associated Press that he recognized the importance of the 
series but did not like being a part of it and would not be giving any interviews.
Mercedes' seven-times world champion Lewis Hamilton, Verstappen's title rival, told reporters at the 
U.S. Grand Prix in Austin, Texas, that he had noticed a surge in interest in the country.
""In this last couple of years it's been the steepest rise and more and more people are talking about it, 
more and more people engaging,"" he said.
""The amount of emails and messages I get from people I've known for years in the States and who never 
knew what I was doing and now are hooked and can't wait to come. I think a lot of them are coming 
this weekend.""
READ: Lewis Hamilton on being 'the greatest you can be' and the lessons he learned from Tom Brady
Verstappen's Mexican team mate Sergio Perez, a two-times race winner who featured heavily last season, 
said he respected what the documentary was doing.
""What it has done for Formula One is tremendous. It's really something I appreciate,"" he said.
""The way they sell the sport is a bit of a drama. It is a show but at the end of the day it is good for 
the sport and is good for the fans so I am happy with it.""
McLaren's Lando Norris, voted the second-most popular driver after Verstappen in a fan survey published 
on Thursday, also appreciated the show.
""I'm fine with it,"" he said. ""I think it's a cool thing. Coming to America there are so many people 
who are now into Formula One just because of watching 'Drive to Survive.' I think I come across on it 
alright.
""I think they do a good job. I can't really speak on behalf of Max.""
His Australian team mate Daniel Ricciardo agreed: ""Most of us experience the effect it's had on the 
sport. There's certainly been a lot of growth and I honestly see that most in America.
""There's times where you want a little bit of space or privacy but I do think if you let them know 
no cameras in this room they are pretty good with that.""",Sports
"Greece's Maria Sakkari will make her debut at the WTA Finals after the 26-year-old qualified for 
the season-ending championships after reaching the quarterfinals at the Kremlin Cup in Moscow.
Sakkari edged past Russia's Anna Kalinskaya in the second round on Thursday, taking the first set 
6-2 before Kalinskaya retired in the second set which Sakkari was leading 1-0.
Sakkari, who will face Simona Halep in the last eight, continues a breakthrough season where she 
finished runner-up at the WTA 500 event in Ostrava, Czech Republic and reached the semifinals at the 
French and the US Open majors.
""I'm very proud of myself and my team that we actually made it to the Finals for the first time, and 
for the first time in the history of Greece for a female tennis player,"" Sakkari said.
""I was very hard on myself up until this year ... Growing, and also getting older and more mature, 
you see certain things different.
""Being nice to myself was one of the most important things I've changed this year, being nice during 
the games and the matches.""
The world number seven is the fifth player after Ash Barty, Aryna Sabalenka, Barbora Krejcikova and 
Karolina Pliskova to qualify for the Finals, which will be held in November in Guadalajara, Mexico.
The Finals, contested by the world's top eight singles players and eight doubles teams, was moved 
out of China's Shenzhen after last year's event was canceled due to the Covid-19 pandemic.",Sports
"Gymnast Simone Biles, who disclosed her mental health struggles during the Tokyo Olympics, says 
she's ""still scared to do gymnastics.""
In an emotional interview on NBC's ""Today"" show on Thursday, Biles said she's still struggling 
with the ""twisties"" as she performs on her Gold Over America Tour. The twisties is a mental block 
where competitors can lose track of where they are while in midair.
""I don't twist (on tour). I do double lay half-outs, which is my signature move on the floor. 
That's never affected me. But everything else weighs so heavy, and I watch the girls do it, and 
it's not the same,"" said Biles, arguably the greatest gymnast of all time.
""But the twisting, once I got back, will come back. But I'm still scared to do gymnastics,"" she added.
Biles, 24, who has won seven Olympic medals, including four golds, battled mental health issues 
and the unexpected loss of a family member during the Summer Games.
Last month, Biles testified before the Senate Judiciary Committee regarding the FBI's handling of 
sexual abuse claims against former USA Gymnastics team doctor Larry Nassar.
Biles, alongside McKayla Maroney, Maggie Nichols and Aly Raisman -- all of whom were abused by 
him -- focused on how the FBI botched its investigation and the intimidation that came from the 
sport's governing bodies.
""For so many years to go through everything that I've gone through, put on a front, I'm proud of 
myself, and I'm happy that I can be a leader for the survivors and bring courage to everybody 
speaking up, so I'm happy to be a voice for them,"" Biles said on Today.
At the Olympics, Biles withdrew during the team final and then withdrew ahead of the all-around 
final and individual events of vault, uneven bars and floor exercise. She did compete in the balance 
beam final, winning bronze.
""To do something that I've done forever and just not be able to do it because of everything I've gone 
through is really crazy, because I love this sport so much. It's hard, I'm sorry. And I don't think 
people understand the magnitude of what I go through,"" Biles said, her voice breaking up.
Biles said she has many techniques to help with her mental wellness, including using the mental health 
app Cerebral. She is now the chief impact officer with the company.
""Getting the mental health therapy that I need has been really relieving for me, especially being on 
the road and on tour. I'm happy to have such a great app to help out with that,"" she said.
Biles said she also likes taking walks outside and indulges in a little retail therapy.",Sports
"The NBA is facing another incident involving China after Enes Kanter, center for the Boston 
Celtics, criticized the country's treatment of Tibet.
The broadcast of the Celtics' season-opening game against the New York Knicks was pulled by 
Chinese video-streaming site Tencent, while fans took to Chinese social media to denounce Kanter and 
the Celtics.
The website for Tencent Sports also indicated that upcoming Celtics games would not be 
livestreamed, rather just an interactive graphic shown instead.
On Weibo, China's Twitter-like platform, a Celtics fan page with approximately 615,000 followers 
posted that it would not be posting updates from the team because of a player's social media oversights.
""From now on, our page will no longer report any information about the Boston Celtics, and our 
Weibo will stop updating!"" read the post from Celtics Weibo Express. ""For any behavior that undermines 
harmony of the nations and the dignity of the motherland, we resolutely resist!""
On Wednesday, Kanter posted a video on social media directed at President Xi Jinping and the Chinese 
government with the caption ""Tibet belongs to the Tibetan people"" calling Xi a ""brutal dictator"" 
while wearing a t-shirt featuring the 14th Dalai Lama, the Buddhist spiritual leader of the Tibetan 
people. The Dalai Lama has been living in exile in India since a failed uprising against Chinese rule 
in 1959 and regularly travels the world to spread his message of tolerance and peace.
CNN has reached out to the NBA and Tencent for comment.
""My message to the Chinese government is free Tibet,"" Kanter said. ""Tibet belongs to Tibetans, I am 
here to add my voice and speak out against what is happening in Tibet under the Chinese government's 
brutal rule.""
""Under the Chinese government's brutal rule, Tibetan people's basic rights and freedoms are 
non-existent.""
Kanter followed it up with another post which said: ""More than 150 Tibetan people have burned 
themselves alive!! -- hoping that such an act would raise more awareness about Tibet. I stand with 
my Tibetan brothers and sisters, and I support their calls for Freedom.""
Later in the day, when Kanter's Boston Celtics took to the court in their season-opening game 
against the New York Knicks, he was wearing shoes with the message ""Free Tibet"" on the side.
Chinese Foreign Ministry spokesman Wang Wenbin told a news briefing on Thursday that Kanter 
was ""trying to get attention"" and that his remarks ""were not worth refuting.""
""We will never accept those attacks to discredit Tibet's development and progress,"" he said.
Kanter's comments come two years after Daryl Morey, the then-general manager of the Houston 
Rockets, sparked controversy between the NBA and China with a tweet in support of pro-democracy 
protestors in Hong Kong. Morey stepped down a year later. Several Chinese businesses cut ties with 
the Rockets as a result and the NBA came under severe pressure from Chinese authorities.
Tibet is an internationally recognized autonomous region within the People's Republic of 
China, though many Tibetans dispute the legitimacy of China's rule.
Kanter, who was raised in Turkey, has been vocal before in defense of various political 
causes, including criticisms of Turkish President Recep Tayyip Erdogan. He faced death threats and the 
criminal trial of his father back home as a result.",Sports
"An Italian DJ claims he suffered a number of injuries following an alleged altercation with MMA 
fighter Conor McGregor.
Francesco Facchinetti said McGregor launched an unprovoked attack at the St. Regis Hotel in Rome on 
Saturday, leaving him with injuries to his face and neck.
On Tuesday Facchinetti told CNN he decided to press charges against McGregor ""because the world 
needs to know the fact that he is dangerous.""
Facchinetti posted an image of the crime report about the incident on his Instagram feed.
The Carabinieri police in Mariano Comasco, Como province, confirmed to CNN that Facchinetti and his 
lawyer formally pressed charges Tuesday.
CNN has contacted McGregor's representatives for comment.
Facchinetti says he was part of a group McGregor invited to the hotel for a party, but he says McGregor 
allegedly lashed out when he and his group said they wanted to leave, claiming McGregor hit him on 
the mouth and nose.
Facchinetti says he suffered an alleged concussion and decided to press charges after discussing 
the incident with his wife and friends.
""He is dangerous, he needs to be stopped,"" Facchinetti told CNN.
Facchinetti said he hopes that the luxury hotel will have CCTV footage of the incident.
A spokesperson for the St. Regis Rome said the safety and security of guests and employees is 
the hotel's first priority.
""We continue to offer the police our full support in their investigation, and have shared all available 
CCTV with them,"" said the spokesperson in a statement sent to CNN on Wednesday.
This is not the first time that McGregor has been in trouble with the law.
Most recently, McGregor pleaded guilty in November 2019 to an assault charge after he admitted punching 
a man at a bar in Dublin, Ireland according to ESPN.",Sports
"Canadian athletes looking to compete for Team Canada at the Beijing 2022 Winter Olympics this February 
will need to be fully vaccinated in order to make the team and participate in the Games.
The Canadian Olympic Committee announced the mandate on Wednesday citing that the best way to keep their 
athletes, staff and communities safe is to ensure all potential members of the team be fully vaccinated 
by October 30.
Canadian Olympic Committee chief executive David Shoemaker said in a statement that the team wanted 
to replicate their successful Tokyo Summer Olympics campaign, where no positive Covid-19 cases 
occurred within the traveling group.
""We want to do the same for Beijing,"" said Shoemaker. ""A fully vaccinated team following robust 
hygiene and physical distancing protocols is the best way to do that.""
READ: Human rights activists unfurl 'No Genocide Games' banner at Beijing 2022 flame-lighting ceremony
In September, the United States Olympic & Paralympic Committee said all US athletes hoping to compete 
at the upcoming Winter Games will need to be fully vaccinated.
The International Olympic Committee has not required athletes to be vaccinated against Covid-19.
The Beijing Winter Olympics are set to take place from February 4-20, 2022.",Sports
"It's not often an NBA star can quietly make his way through a crowd unnoticed. But with celebrities 
like William H. Macy, Martha Stewart, and Guy Fieri roaming the grounds of the Food & Wine Classic in 
Aspen, Colorado last month, Portland Trail Blazers guard CJ McCollum figured he had a decent chance to 
quietly taste wines, meet vineyard owners and avoid attention.
""It was a combination of business and pleasure,"" McCollum says. ""I'm only 6'3"", not that tall or 
muscular, so I could blend in. But when you've played a certain team from Colorado a few times in the 
playoffs, some people will notice you.""
Most in the wine industry shouldn't be surprised to run into an elite NBA player at a wine tasting in a 
tiny mountain town. McCollum is one of many players in the league who are well-documented enthusiasts 
of Pinots, chardonnay and cabernets.
""There's a huge emphasis on chemistry building in the NBA,"" the nine-year veteran explains to CNN 
Sport. ""And there's a lot of dinners and situations where you're breaking bread with teammates, family 
and staff -- and wine is associated with that.
""I go out to dinner with certain teammates, Dame [Lillard] and Melo [Carmelo Anthony] for example, and 
I know Melo is going to bring a white burgundy. I'm going to bring a super Tuscan or something from 
Oregon. JJ Reddick may give me a chardonnay I've never tasted. Josh Hart, Seth Curry, 
KD [Kevin Durant], you have all these friends in the wine space.""
Some former players like Channing Frye and Dwyane Wade, who attended the Classic in 2019, 
now have their own wine labels. But McCollum, who debuted his own McCollum 91 Pinot Noir label 
last year, has taken it one step further.
The day the Wine & Food Classic opened for tasting, CJ and his wife Elise McCollum closed on the 
purchase of a 318-acre vineyard-to-be in Oregon's Willamette Valley. The couple's new property -- which 
includes a reservoir, multiple micro-climates and a nursery operation -- borders the vineyard where 
McCollum's Pinot noir is currently produced.
""As far as players, I think I'm the only one,"" McCollum says when asked if any others in the league own 
their own vineyard. ""My love for wine has continued to grow, to being interested in all phases of 
wine -- from the process of making it to the business side. And we now have a blank canvas. We can 
build it out the way we want.""
The McCollums' plan is to start prepping the land on their vineyard in late December 2021, before 
planting roughly 8,800 Pinot grape vines in spring 2022.
According to the 2020 Oregon Vineyard and Winery Census report, 70% of the Willamette Valley's vineyard 
acreage is dedicated to growing Pinot noir grapes.
""It takes about three years to turn grapes around from vine to bottle ... especially when it's from 
unplanted soil,"" explains McCollum. ""I would say sometime between 2025 and 2027, we'll be able to say 
that we grew our own wines from our own land. And that's really cool to say out loud.""
Regardless of when the first bottles from the yet-to-be-named vineyard land in consumers' wine 
vaults, McCollum believes the barometer for his and his wife's winemaking success will come years earlier.
""I'm in a position now as a Black male who has influence. My role is to continue to figure out ways to 
make this approachable, to make it diverse and create equity and inclusion. We need to figure out 
ways to expand and bring in new backgrounds from new places.""
The McCollums' initial goal is to hire a diverse and talented staff to help them get the operation 
growing while Elise focuses on her dentistry practice, CJ on his NBA career, and both on their first 
child due in a couple of months.
""In basketball, you need coaches, you need staff, you need players. And the same goes for the vineyard,"" 
says McCollum. ""You need a farm manager, you need operations, you need all these people who specialize 
and can be stars in their roles. And that's what we're doing, we're building a dream team.
""But we also have talked about ways to provide opportunities and channels from a mentorship and 
internship standpoint to learn about all aspects of the wine business, not just physically making the 
grapes, but learning all the behind the scenes of the business.
""There's a lot of people out here in the Willamette Valley aligned with trying to make this space more 
diverse. They understand the bottom line is that, not only will you bring more people into the wine 
space, but you'll get a better product from it.""
Morgen McLaughlin, executive director of the Willamette Valley Wineries Association, agrees. ""I can only 
imagine there's going to be a lot of people who want to be part of that team,"" she tells CNN Sport.
She says the McCollums' investment into the valley, along with CJ's work with former teammate Channing 
Frye on the One Barrel Challenge, a fundraising effort to promote accessibility and inclusivity in the 
Oregon wine industry, will have an overwhelmingly positive effect.
""Black people having ownership roles is really important. As a White person, it's hard for me to say 
we're trying to diversify the wine industry and get more people drinking wine. But it's much different 
when it's coming from someone of that caliber and that visibility.""
Through it all, McCollum hopes his legacy will be more than just as a great basketball player that 
learned how to make a great Pinot noir.
""It's more about how we treat people, empower people, put people in a position to succeed. I think 
all those things are more important than me just shooting a basketball.""",Sports
"With 100 race wins and seven world championships to his name so far, Lewis Hamilton can arguably claim 
to be the greatest Formula One driver in history.
Not that the 36-year-old Briton, who has the most race wins or podium places in F1 history, is thinking 
like that.
""I don't think a lot about the whole 'greatest of all time' because I think it's very hard to compare 
people,"" Hamilton told CNN Sport's Coy Wire.
""Just in that one moment, it's about being the greatest you can be and living to your full potential.
""So that's something that I just search for and [to stay] as focused and driven as I could possibly be.
""I think the surprising thing is that I've been racing this long and I still have that same feeling 
when I fail or when I don't succeed, and I turn that into a positive and use it as fuel.
""I thought that that would wear off as I got older, but it's not.""
It's an approach that has seen Hamilton rise to the very top of his sport, passing some of his idols 
along the way.
Hamilton is now fighting for an eighth world title this season, a championship which would pull him 
clear of a record he currently shares with racing legend Michael Schumacher.
That's quite the accolade for the boy who was expelled from school all those years ago and whose 
father, Anthony, juggled three jobs, re-mortgaged the family home and dipped into his life savings 
to keep his son in karting.
""My dream was always to get to Formula One, to do something like Ayrton Senna -- he had three world 
titles,"" the Mercedes driver and IWC Ambassador added.
""And then to see myself match him at one point, and then go beyond that.
""To think that I'm here today, where most people don't even get one championship and to have seven is 
very, very crazy still.
""But every year when I come back, it's like a reset. Like, I'm not a champion. I have no titles. 
I'm going for the first.
""That's kind of my mentality. But an eighth? I don't know. I never really say.""
Perhaps the biggest challenge standing in the way of an eighth world title is long-time rival Max 
Verstappen.
The Dutch superstar currently leads the standings with seven race wins this year but, while 
acknowledging Verstappen is in dangerous form, Hamilton says his focus remains on his own performance 
and team.
""I think for us it's just making sure we continue to enjoy the journey, to not apply too much pressure 
to ourselves because we've been here many, many times before,"" he said.
""But not let that desire and that yearning for success overpower everything and put added pressure 
on us that we don't really need.
""But it's all about preparation, making sure we're the best prepared we can be.""
In addition to his own desire, Hamilton has found inspiration from all corners of society and from all 
manner of sports.
Speaking to CNN from Austin ahead of the US Grand Prix this weekend, the driver acknowledged how much 
he can learn from the likes of NFL veteran Tom Brady.
Like Hamilton, Brady is considered one of the best in the history of his sport and the similarities 
don't stop there.
While the Brit has won seven world championships, the 44-year-old quarterback can boast seven Super Bowl 
titles and is still competing at the highest level today.
""I think, naturally, when you're an athlete, you definitely see people that you can relate to,"" Hamilton 
explained.
""I've had the privilege of watching Tom's success and we were actually neighbors for a second literally.
""I think it's really kind of the mentality of an athlete: the drive, the training regime, the attention 
to detail and the kind of the constant push for perfection.
""But also the teamwork element of being the team leader, being a part of a large group of people who 
are all driven towards a common goal.
""He's such an incredible leader, so I take more inspiration from that.""
Brady has openly talked about his desire to keep playing in the NFL and has said, perhaps somewhat 
tongue in cheek, that he could play until he's 50.
Such a long career is not something Hamilton is seriously entertaining but the driver is far from 
hanging up his gloves.
He still possesses that competitive edge -- a trait honed by racing his brother on computer games from 
an early age -- and still has that appetite for adrenaline.
""I don't think I'll be racing until I'm 50. But who knows? I'm for sure going to be doing things 
like it,"" he said, smiling.
""Whether it's skydiving, whether it's surfing, whether it's just going to a local track, go-karting 
with friends or whatever it is.
""I think I'm never going to give it up necessarily but perhaps, professionally, I'll have to.""
While growing into the elite sportsman he is today, Hamilton has continued to use his global 
platform to fight for more than just success on the track.
He has been an outspoken voice on issues such as climate change and equality and has put pressure 
on his sport, and wider society, to become more tolerant and face issues around lack of diversity.
It's a mission perhaps born out of his own life experiences -- Hamilton says the education system in 
the UK ""failed"" him growing up after he was kicked out of school for something he says he didn't do.
Black Caribbean students were around 1.7 times more likely to be permanently excluded from UK schools 
compared with White British students, according to the Hamilton Commission -- a report led by the 
driver which looked to address the under representation of Black people in UK motorsport and the STEM (science, technology, engineering and mathematics) sector.
""I was one of those,"" Hamilton said.
But the seven-time champion has channeled his setbacks into a cause for good, setting up Mission 44 -- a 
foundation that looks to support, promote and empower young people from underrepresented groups in the UK.
""Only 1% of the 40,000 people in the industry in the UK alone are from Black backgrounds,"" Hamilton 
said, admitting there was still a huge amount of work to be done.
""We've got to change the pipeline. We've got to get more eyes, get more encouragement for these young 
kids to get into STEM subjects so they realize that there are so many great avenues that engineering 
can lead to.""",Sports
